,Dimension,Number of Phenotypes,Vectors of probability,Std value,Accuracy,Euclidean Distance
0,4,2,"[array([0.8       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.        ]), array([0.        , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.8       ])]",2.0,1.0,1.131
1,4,2,"[array([0.75      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.05      ]), array([0.05      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.75      ])]",2.0,1.0,0.99
2,4,2,"[array([0.7       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.1       ]), array([0.1       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.7       ])]",2.0,1.0,0.849
3,4,2,"[array([0.65      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.15      ]), array([0.15      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.65      ])]",2.0,1.0,0.707
4,4,2,"[array([0.6       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.2       ]), array([0.2       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.6       ])]",2.0,0.99,0.566
5,4,2,"[array([0.55      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.25      ]), array([0.25      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.55      ])]",2.0,0.67,0.424
6,4,2,"[array([0.5       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.3       ]), array([0.3       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.5       ])]",2.0,0.52,0.283
7,4,2,"[array([0.45      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.35      ]), array([0.35      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.45      ])]",2.0,0.53,0.141
8,4,2,"[array([0.4       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.4       ]), array([0.4       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.4       ])]",2.0,0.53,0.0
9,4,2,"[array([0.35      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.45      ]), array([0.45      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.35      ])]",2.0,0.57,0.141
10,4,2,"[array([0.3       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.5       ]), array([0.5       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.3       ])]",2.0,0.53,0.283
11,4,2,"[array([0.25      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.55      ]), array([0.55      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.25      ])]",2.0,0.9,0.424
12,4,2,"[array([0.2       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.6       ]), array([0.6       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.2       ])]",2.0,0.95,0.566
13,4,2,"[array([0.15      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.65      ]), array([0.65      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.15      ])]",2.0,1.0,0.707
14,4,2,"[array([0.1       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.7       ]), array([0.7       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.1       ])]",2.0,1.0,0.849
15,4,2,"[array([0.05      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.75      ]), array([0.75      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.05      ])]",2.0,1.0,0.99
16,4,2,"[array([0.8       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.        ]), array([0.        , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.8       ])]",2.0,1.0,1.131
17,4,2,"[array([0.75      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.05      ]), array([0.05      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.75      ])]",2.0,1.0,0.99
18,4,2,"[array([0.7       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.1       ]), array([0.1       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.7       ])]",2.0,1.0,0.849
19,4,2,"[array([0.65      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.15      ]), array([0.15      , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.65      ])]",2.0,0.97,0.707
20,4,2,"[array([0.6       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.2       ]), array([0.2       , 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.01428571, 0.01428571, 0.01428571, 0.01428571, 0.01428571,
       0.6       ])]",2.0,0.83,0.566
