,Tube,Accuracy LDA,Accuracy Kmeans
0,1,0.7,0.6777777777777778
1,1,0.6888888888888889,0.6555555555555556
2,1,0.6703296703296703,0.6923076923076923
3,1,0.6373626373626373,0.7582417582417582
4,1,0.7191011235955056,0.7078651685393258
5,1,0.7717391304347826,0.717391304347826
6,1,0.6966292134831461,0.7078651685393258
7,1,0.6888888888888889,0.7222222222222222
8,1,0.7252747252747253,0.7802197802197802
9,1,0.7444444444444445,0.7666666666666667
10,1,0.717391304347826,0.6956521739130435
11,1,0.6931818181818182,0.6704545454545454
12,1,0.6923076923076923,0.6813186813186813
13,1,0.6703296703296703,0.6813186813186813
14,1,0.6666666666666666,0.6555555555555556
15,1,0.7333333333333333,0.6888888888888889
16,1,0.6923076923076923,0.6483516483516484
17,1,0.5978260869565217,0.5869565217391305
18,1,0.6923076923076923,0.7032967032967034
19,1,0.6483516483516484,0.7142857142857143
20,2,0.7415730337078652,0.7303370786516854
21,2,0.7888888888888889,0.7222222222222222
22,2,0.7333333333333333,0.7222222222222222
23,2,0.7282608695652174,0.7391304347826086
24,2,0.782608695652174,0.75
25,2,0.7802197802197802,0.7252747252747253
26,2,0.7362637362637363,0.7252747252747253
27,2,0.7444444444444445,0.7222222222222222
28,2,0.7444444444444445,0.7444444444444445
29,2,0.8260869565217391,0.75
30,2,0.7640449438202247,0.7191011235955056
31,2,0.7142857142857143,0.7032967032967034
32,2,0.7111111111111111,0.7222222222222222
33,2,0.7802197802197802,0.6043956043956044
34,2,0.5434782608695652,0.7282608695652174
35,2,0.7065217391304348,0.717391304347826
36,2,0.7078651685393258,0.7303370786516854
37,2,0.7555555555555555,0.7222222222222222
38,2,0.7692307692307693,0.7362637362637363
39,2,0.7954545454545454,0.7159090909090909
40,3,0.5274725274725275,0.5714285714285714
41,3,0.7,0.5666666666666667
42,3,0.5714285714285714,0.5824175824175825
43,3,0.5,0.5444444444444444
44,3,0.7142857142857143,0.5714285714285714
45,3,0.5444444444444444,0.5666666666666667
46,3,0.5164835164835165,0.5714285714285714
47,3,0.5777777777777777,0.5666666666666667
48,3,0.5869565217391305,0.5760869565217391
49,3,0.5795454545454546,0.5568181818181818
50,3,0.6413043478260869,0.5543478260869565
51,3,0.6444444444444445,0.5666666666666667
52,3,0.4777777777777778,0.5666666666666667
53,3,0.4835164835164835,0.5494505494505495
54,3,0.5,0.5760869565217391
55,3,0.7717391304347826,0.5760869565217391
56,3,0.6222222222222222,0.5777777777777777
57,3,0.4725274725274725,0.5714285714285714
58,3,0.717391304347826,0.5760869565217391
59,3,0.5934065934065934,0.5934065934065934
60,4,0.9550561797752809,0.9550561797752809
61,4,0.9222222222222223,0.9555555555555556
62,4,0.9230769230769231,0.978021978021978
63,4,0.945054945054945,0.9340659340659341
64,4,0.9213483146067416,0.9662921348314607
65,4,0.9438202247191011,0.9775280898876404
66,4,0.9347826086956522,0.9456521739130435
67,4,0.9444444444444444,0.9555555555555556
68,4,0.9347826086956522,0.9456521739130435
69,4,0.945054945054945,0.9560439560439561
70,4,0.9456521739130435,0.9565217391304348
71,4,0.9213483146067416,0.9438202247191011
72,4,0.9120879120879121,0.967032967032967
73,4,0.9120879120879121,0.967032967032967
74,4,0.9456521739130435,0.9565217391304348
75,4,0.9444444444444444,0.9666666666666667
76,4,0.9438202247191011,0.9213483146067416
77,4,0.9456521739130435,0.9347826086956522
78,4,0.9560439560439561,0.945054945054945
79,4,0.9444444444444444,0.9555555555555556
80,5,0.8444444444444444,0.7222222222222222
81,5,0.7582417582417582,0.8351648351648352
82,5,0.8681318681318682,0.8681318681318682
83,5,0.8913043478260869,0.9021739130434783
84,5,0.8369565217391305,0.9347826086956522
85,5,0.7032967032967034,0.7252747252747253
86,5,0.9010989010989011,0.8681318681318682
87,5,0.7555555555555555,0.6555555555555556
88,5,0.8791208791208791,0.7032967032967034
89,5,0.8241758241758241,0.7692307692307693
90,5,0.8695652173913043,0.7608695652173914
91,5,0.717391304347826,0.8369565217391305
92,5,0.6703296703296703,0.8571428571428571
93,5,0.7717391304347826,0.9130434782608695
94,5,0.7159090909090909,0.6590909090909091
95,5,0.7282608695652174,0.6630434782608695
96,5,0.8681318681318682,0.6703296703296703
97,5,0.7666666666666667,0.9222222222222223
98,5,0.8777777777777778,0.9111111111111111
99,5,0.8777777777777778,0.7444444444444445
100,6,0.9101123595505618,0.9662921348314607
101,6,0.8333333333333334,0.9222222222222223
102,6,0.9239130434782609,0.9565217391304348
103,6,0.8111111111111111,0.8777777777777778
104,6,0.9120879120879121,0.967032967032967
105,6,0.8555555555555555,0.9444444444444444
106,6,0.8461538461538461,0.945054945054945
107,6,0.9239130434782609,0.9456521739130435
108,6,0.8666666666666667,0.9111111111111111
109,6,0.9347826086956522,0.9130434782608695
110,6,0.9347826086956522,0.9456521739130435
111,6,0.8681318681318682,0.945054945054945
112,6,0.9120879120879121,0.9560439560439561
113,6,0.9560439560439561,0.9120879120879121
114,6,0.8260869565217391,0.9347826086956522
115,6,0.8333333333333334,0.9
116,6,0.9130434782608695,0.9347826086956522
117,6,0.8791208791208791,0.967032967032967
118,6,0.9120879120879121,0.9560439560439561
119,6,0.9347826086956522,0.9347826086956522
120,7,0.5777777777777777,0.6
121,7,0.532608695652174,0.8260869565217391
122,7,0.6956521739130435,0.5978260869565217
123,7,0.8369565217391305,0.6304347826086957
124,7,0.8,0.6222222222222222
125,7,0.8681318681318682,0.5934065934065934
126,7,0.5730337078651685,0.5842696629213483
127,7,0.7142857142857143,0.6593406593406593
128,7,0.5222222222222223,0.5888888888888889
129,7,0.532608695652174,0.5869565217391305
130,7,0.9,0.5888888888888889
131,7,0.782608695652174,0.6847826086956522
132,7,0.8804347826086957,0.6956521739130435
133,7,0.7472527472527473,0.8351648351648352
134,7,0.8333333333333334,0.6666666666666666
135,7,0.8777777777777778,0.8555555555555555
136,7,0.717391304347826,0.5978260869565217
137,7,0.5934065934065934,0.8351648351648352
138,7,0.8478260869565217,0.5978260869565217
139,7,0.5444444444444444,0.5888888888888889
140,8,0.7857142857142857,0.7678571428571429
141,8,0.6949152542372882,0.6779661016949152
142,8,0.6785714285714286,0.5892857142857143
143,8,0.6964285714285714,0.6428571428571429
144,8,0.7090909090909091,0.6909090909090909
145,8,0.7288135593220338,0.711864406779661
146,8,0.6779661016949152,0.5423728813559322
147,8,0.6551724137931034,0.6379310344827587
148,8,0.7301587301587301,0.5238095238095238
149,8,0.6724137931034483,0.7068965517241379
150,8,0.6607142857142857,0.6785714285714286
151,8,0.7068965517241379,0.6896551724137931
152,8,0.6037735849056604,0.7169811320754716
153,8,0.75,0.78125
154,8,0.7454545454545455,0.7818181818181819
155,8,0.6923076923076923,0.7538461538461538
156,8,0.7796610169491526,0.7627118644067796
157,8,0.6792452830188679,0.7169811320754716
158,8,0.7090909090909091,0.6909090909090909
159,8,0.7454545454545455,0.7454545454545455
