,Tube,p_val_t_test
0,1,0.804170445966135
1,2,0.1502406469953494
2,3,0.37240709730668986
3,4,0.0004020504164923985
4,5,0.7151079238876168
5,6,0.00013052727917859617
6,7,0.13629021526670015
7,8,0.45015743166679956
