,Run,Accuracy
0,0,0.8105263157894737
1,1,0.7894736842105263
2,2,0.8315789473684211
3,3,0.8210526315789474
4,4,0.7684210526315789
5,5,0.8
6,6,0.8105263157894737
7,7,0.8
8,8,0.8210526315789474
9,9,0.7894736842105263
10,10,0.8421052631578947
11,11,0.8315789473684211
12,12,0.8210526315789474
13,13,0.8526315789473684
14,14,0.8315789473684211
15,15,0.7894736842105263
16,16,0.8
17,17,0.8315789473684211
18,18,0.8
19,19,0.7894736842105263
