,Run,Accuracy
0,0,0.5684210526315789
1,1,0.4421052631578947
2,2,0.6526315789473685
3,3,0.4631578947368421
4,4,0.47368421052631576
5,5,0.47368421052631576
6,6,0.5473684210526316
7,7,0.49473684210526314
8,8,0.42105263157894735
9,9,0.45263157894736844
10,10,0.5894736842105263
11,11,0.47368421052631576
12,12,0.4
13,13,0.5368421052631579
14,14,0.4631578947368421
15,15,0.5473684210526316
16,16,0.5578947368421052
17,17,0.5263157894736842
18,18,0.5473684210526316
19,19,0.45263157894736844
20,20,0.4631578947368421
21,21,0.4421052631578947
22,22,0.5684210526315789
23,23,0.5894736842105263
24,24,0.4421052631578947
25,25,0.4842105263157895
26,26,0.6
27,27,0.5473684210526316
28,28,0.4631578947368421
29,29,0.4842105263157895
30,30,0.5789473684210527
31,31,0.43157894736842106
32,32,0.5052631578947369
33,33,0.5157894736842106
34,34,0.5052631578947369
35,35,0.631578947368421
36,36,0.45263157894736844
37,37,0.43157894736842106
38,38,0.45263157894736844
39,39,0.5789473684210527
