,Run,Accuracy
0,0,0.3157894736842105
1,1,0.3157894736842105
2,2,0.35789473684210527
3,3,0.37894736842105264
4,4,0.3263157894736842
5,5,0.2736842105263158
6,6,0.3157894736842105
7,7,0.3684210526315789
8,8,0.3157894736842105
9,9,0.30526315789473685
10,10,0.30526315789473685
11,11,0.2631578947368421
12,12,0.3684210526315789
13,13,0.3157894736842105
14,14,0.28421052631578947
15,15,0.29473684210526313
16,16,0.35789473684210527
17,17,0.3368421052631579
18,18,0.2736842105263158
19,19,0.4105263157894737
20,20,0.30526315789473685
21,21,0.3157894736842105
22,22,0.3684210526315789
23,23,0.29473684210526313
24,24,0.3473684210526316
25,25,0.3157894736842105
26,26,0.3368421052631579
27,27,0.4
28,28,0.3368421052631579
29,29,0.3157894736842105
30,30,0.29473684210526313
31,31,0.30526315789473685
32,32,0.3473684210526316
33,33,0.30526315789473685
34,34,0.28421052631578947
35,35,0.28421052631578947
36,36,0.30526315789473685
37,37,0.30526315789473685
38,38,0.3157894736842105
39,39,0.2631578947368421
40,0,0.2631578947368421
41,1,0.2736842105263158
42,2,0.23157894736842105
43,3,0.28421052631578947
44,4,0.3368421052631579
45,5,0.29473684210526313
46,6,0.25263157894736843
47,7,0.2631578947368421
48,8,0.2631578947368421
49,9,0.29473684210526313
50,10,0.2736842105263158
51,11,0.28421052631578947
52,12,0.25263157894736843
53,13,0.2736842105263158
54,14,0.2736842105263158
55,15,0.30526315789473685
56,16,0.2631578947368421
57,17,0.2736842105263158
58,18,0.23157894736842105
59,19,0.29473684210526313
60,20,0.29473684210526313
61,21,0.30526315789473685
62,22,0.29473684210526313
63,23,0.37894736842105264
64,24,0.2631578947368421
65,25,0.2631578947368421
66,26,0.23157894736842105
67,27,0.30526315789473685
68,28,0.2736842105263158
69,29,0.28421052631578947
70,30,0.28421052631578947
71,31,0.23157894736842105
72,32,0.24210526315789474
73,33,0.2736842105263158
74,34,0.2631578947368421
75,35,0.29473684210526313
76,36,0.2631578947368421
77,37,0.2736842105263158
78,38,0.25263157894736843
79,39,0.30526315789473685
