,DC01,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95
DC01,100.0,10.0,0.0,78.0,0.0,0.0,0.0,76.0,0.0,0.0,78.0,0.0,74.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,81.0,81.0,0.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DC02,10.0,100.0,7.0,14.0,5.0,6.0,4.0,9.0,5.0,10.0,11.0,31.0,12.0,9.0,31.0,5.0,18.0,5.0,5.0,26.0,5.0,39.0,35.0,12.0,10.0,25.0,12.0,3.0,23.0,28.0,31.0,17.0,6.0,8.0,27.0,6.0,29.0,5.0,13.0,33.0,13.0,2.0,6.0,5.0,17.0,3.0,5.0,24.0,7.0,16.0,15.0,8.0,6.0,3.0,6.0,5.0,11.0,17.0,2.0,24.0,22.0,5.0,5.0,21.0,21.0,8.0,28.0,4.0,4.0,4.0,28.0,19.0,12.0,10.0,21.0,12.0,8.0,38.0,32.0,34.0,16.0,5.0,36.0,27.0,27.0,43.0,3.0,6.0,24.0,32.0,20.0,3.0,5.0,9.0,27.0
DC03,0.0,7.0,100.0,1.0,21.0,21.0,32.0,0.0,32.0,34.0,0.0,12.0,0.0,0.0,13.0,22.0,19.0,20.0,17.0,10.0,21.0,16.0,8.0,0.0,0.0,22.0,1.0,21.0,12.0,8.0,14.0,23.0,23.0,22.0,11.0,23.0,17.0,19.0,12.0,15.0,25.0,20.0,25.0,23.0,22.0,31.0,19.0,23.0,23.0,15.0,28.0,21.0,26.0,27.0,20.0,20.0,10.0,14.0,24.0,14.0,11.0,31.0,25.0,9.0,11.0,27.0,11.0,27.0,20.0,23.0,15.0,10.0,22.0,26.0,10.0,21.0,21.0,9.0,12.0,13.0,22.0,25.0,8.0,12.0,12.0,8.0,18.0,25.0,19.0,17.0,16.0,30.0,17.0,19.0,17.0
DC04,78.0,14.0,1.0,100.0,0.0,0.0,0.0,72.0,0.0,1.0,77.0,0.0,71.0,71.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,76.0,76.0,1.0,74.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
DC05,0.0,5.0,21.0,0.0,100.0,31.0,32.0,0.0,32.0,20.0,0.0,23.0,1.0,0.0,7.0,28.0,30.0,24.0,28.0,12.0,33.0,16.0,11.0,1.0,0.0,21.0,1.0,26.0,9.0,9.0,18.0,25.0,30.0,31.0,7.0,29.0,8.0,22.0,22.0,14.0,21.0,27.0,32.0,29.0,17.0,31.0,28.0,18.0,18.0,15.0,28.0,26.0,30.0,27.0,22.0,24.0,20.0,18.0,29.0,8.0,16.0,21.0,26.0,20.0,22.0,23.0,6.0,31.0,26.0,25.0,7.0,16.0,23.0,27.0,14.0,24.0,28.0,11.0,9.0,14.0,16.0,19.0,12.0,15.0,9.0,6.0,27.0,41.0,13.0,11.0,18.0,27.0,28.0,21.0,19.0
DC06,0.0,6.0,21.0,0.0,31.0,100.0,30.0,0.0,27.0,23.0,0.0,16.0,0.0,0.0,12.0,24.0,22.0,27.0,27.0,9.0,36.0,13.0,12.0,0.0,0.0,26.0,0.0,27.0,12.0,12.0,10.0,28.0,31.0,35.0,15.0,33.0,13.0,28.0,20.0,12.0,17.0,27.0,33.0,31.0,20.0,23.0,30.0,18.0,29.0,14.0,17.0,28.0,27.0,30.0,26.0,19.0,32.0,20.0,30.0,10.0,18.0,29.0,33.0,15.0,11.0,17.0,14.0,27.0,25.0,31.0,16.0,12.0,13.0,24.0,10.0,24.0,24.0,6.0,6.0,10.0,17.0,26.0,10.0,18.0,8.0,7.0,31.0,30.0,8.0,6.0,14.0,20.0,23.0,28.0,15.0
DC07,0.0,4.0,32.0,0.0,32.0,30.0,100.0,0.0,36.0,30.0,0.0,6.0,0.0,0.0,8.0,29.0,17.0,27.0,32.0,8.0,33.0,5.0,6.0,0.0,0.0,14.0,0.0,39.0,2.0,6.0,12.0,25.0,33.0,35.0,6.0,38.0,11.0,33.0,22.0,9.0,14.0,33.0,39.0,27.0,19.0,40.0,37.0,12.0,28.0,13.0,16.0,33.0,30.0,39.0,23.0,41.0,20.0,12.0,44.0,5.0,12.0,42.0,30.0,10.0,11.0,22.0,9.0,28.0,31.0,35.0,8.0,15.0,17.0,27.0,9.0,16.0,37.0,8.0,6.0,5.0,21.0,35.0,6.0,15.0,8.0,5.0,31.0,31.0,8.0,10.0,14.0,30.0,20.0,31.0,7.0
DC08,76.0,9.0,0.0,72.0,0.0,0.0,0.0,100.0,0.0,0.0,75.0,0.0,72.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,79.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC09,0.0,5.0,32.0,0.0,32.0,27.0,36.0,0.0,100.0,35.0,1.0,6.0,0.0,0.0,4.0,29.0,12.0,24.0,28.0,12.0,25.0,10.0,9.0,1.0,0.0,18.0,1.0,35.0,6.0,14.0,14.0,13.0,31.0,28.0,13.0,35.0,19.0,24.0,23.0,12.0,24.0,28.0,28.0,26.0,17.0,49.0,32.0,14.0,25.0,14.0,23.0,28.0,29.0,27.0,28.0,30.0,26.0,27.0,38.0,9.0,11.0,35.0,35.0,16.0,8.0,23.0,6.0,41.0,30.0,23.0,9.0,16.0,15.0,23.0,10.0,25.0,20.0,8.0,11.0,4.0,16.0,22.0,8.0,12.0,10.0,5.0,31.0,32.0,12.0,11.0,21.0,25.0,26.0,28.0,12.0
DC10,0.0,10.0,34.0,1.0,20.0,23.0,30.0,0.0,35.0,100.0,1.0,11.0,0.0,0.0,8.0,27.0,16.0,21.0,17.0,13.0,20.0,10.0,7.0,0.0,0.0,15.0,0.0,34.0,6.0,10.0,9.0,15.0,25.0,16.0,10.0,27.0,17.0,21.0,14.0,8.0,20.0,29.0,22.0,24.0,25.0,30.0,30.0,15.0,22.0,12.0,18.0,24.0,26.0,33.0,26.0,24.0,19.0,19.0,33.0,9.0,13.0,32.0,31.0,13.0,9.0,26.0,6.0,37.0,30.0,27.0,15.0,7.0,14.0,22.0,8.0,22.0,24.0,7.0,5.0,3.0,15.0,21.0,5.0,16.0,11.0,9.0,33.0,26.0,8.0,6.0,16.0,23.0,19.0,15.0,16.0
