,DC01,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95
DC11,78.0,11.0,0.0,77.0,0.0,0.0,0.0,75.0,1.0,1.0,100.0,1.0,69.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,74.0,73.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DC12,0.0,31.0,12.0,0.0,23.0,16.0,6.0,0.0,6.0,11.0,1.0,100.0,3.0,0.0,34.0,11.0,27.0,15.0,18.0,33.0,14.0,33.0,29.0,0.0,0.0,22.0,2.0,12.0,34.0,35.0,28.0,24.0,16.0,19.0,24.0,4.0,23.0,10.0,18.0,36.0,18.0,13.0,12.0,16.0,18.0,7.0,7.0,20.0,10.0,20.0,14.0,17.0,6.0,7.0,17.0,6.0,17.0,16.0,9.0,29.0,26.0,8.0,9.0,26.0,33.0,14.0,32.0,10.0,8.0,12.0,19.0,29.0,18.0,18.0,30.0,13.0,15.0,38.0,31.0,29.0,21.0,9.0,32.0,27.0,24.0,38.0,9.0,13.0,30.0,23.0,29.0,11.0,16.0,15.0,33.0
DC13,74.0,12.0,0.0,71.0,1.0,0.0,0.0,72.0,0.0,0.0,69.0,3.0,100.0,69.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,74.0,72.0,2.0,72.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
DC14,75.0,9.0,0.0,71.0,0.0,0.0,0.0,75.0,0.0,0.0,71.0,0.0,69.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,80.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC15,1.0,31.0,13.0,2.0,7.0,12.0,8.0,0.0,4.0,8.0,0.0,34.0,1.0,0.0,100.0,11.0,22.0,10.0,13.0,41.0,12.0,36.0,30.0,0.0,0.0,23.0,2.0,2.0,41.0,36.0,32.0,25.0,9.0,11.0,20.0,5.0,22.0,13.0,25.0,41.0,16.0,8.0,9.0,8.0,22.0,4.0,7.0,30.0,11.0,13.0,15.0,12.0,5.0,6.0,4.0,7.0,21.0,14.0,4.0,27.0,27.0,4.0,11.0,38.0,27.0,9.0,36.0,5.0,9.0,11.0,25.0,25.0,11.0,20.0,37.0,16.0,13.0,39.0,32.0,29.0,21.0,7.0,39.0,34.0,30.0,31.0,4.0,7.0,30.0,42.0,35.0,17.0,15.0,9.0,32.0
DC16,0.0,5.0,22.0,0.0,28.0,24.0,29.0,0.0,29.0,27.0,0.0,11.0,1.0,0.0,11.0,100.0,22.0,31.0,33.0,10.0,35.0,7.0,9.0,0.0,0.0,16.0,0.0,35.0,10.0,7.0,14.0,21.0,25.0,26.0,12.0,30.0,15.0,31.0,25.0,10.0,23.0,35.0,27.0,31.0,21.0,36.0,32.0,16.0,20.0,9.0,24.0,24.0,25.0,33.0,25.0,36.0,24.0,16.0,33.0,7.0,8.0,29.0,29.0,15.0,19.0,27.0,9.0,37.0,23.0,31.0,10.0,14.0,19.0,23.0,13.0,32.0,29.0,11.0,8.0,7.0,16.0,31.0,9.0,16.0,10.0,6.0,28.0,36.0,11.0,12.0,9.0,35.0,26.0,31.0,13.0
DC17,0.0,18.0,19.0,0.0,30.0,22.0,17.0,0.0,12.0,16.0,0.0,27.0,0.0,0.0,22.0,22.0,100.0,22.0,33.0,21.0,34.0,19.0,14.0,0.0,0.0,25.0,1.0,21.0,28.0,19.0,17.0,24.0,16.0,28.0,18.0,15.0,21.0,25.0,29.0,18.0,24.0,16.0,22.0,19.0,22.0,13.0,17.0,19.0,16.0,14.0,22.0,25.0,19.0,4.0,21.0,11.0,27.0,22.0,11.0,15.0,21.0,15.0,14.0,29.0,25.0,23.0,20.0,15.0,20.0,17.0,9.0,26.0,23.0,15.0,27.0,24.0,22.0,19.0,17.0,23.0,22.0,22.0,17.0,18.0,14.0,18.0,12.0,25.0,22.0,18.0,12.0,28.0,34.0,38.0,19.0
DC18,0.0,5.0,20.0,0.0,24.0,27.0,27.0,0.0,24.0,21.0,0.0,15.0,1.0,0.0,10.0,31.0,22.0,100.0,26.0,11.0,31.0,10.0,6.0,0.0,0.0,14.0,0.0,40.0,8.0,13.0,11.0,20.0,20.0,28.0,7.0,27.0,6.0,28.0,26.0,16.0,16.0,37.0,34.0,25.0,21.0,30.0,32.0,11.0,34.0,14.0,18.0,24.0,31.0,26.0,36.0,37.0,27.0,19.0,34.0,6.0,12.0,36.0,31.0,13.0,13.0,32.0,7.0,37.0,41.0,27.0,7.0,15.0,20.0,32.0,12.0,19.0,29.0,10.0,13.0,13.0,21.0,36.0,7.0,18.0,6.0,7.0,41.0,33.0,14.0,8.0,16.0,32.0,28.0,31.0,11.0
DC19,0.0,5.0,17.0,0.0,28.0,27.0,32.0,0.0,28.0,17.0,0.0,18.0,1.0,0.0,13.0,33.0,33.0,26.0,100.0,12.0,35.0,12.0,5.0,0.0,0.0,24.0,0.0,28.0,14.0,11.0,12.0,18.0,31.0,33.0,13.0,27.0,15.0,35.0,23.0,14.0,19.0,31.0,32.0,23.0,16.0,24.0,28.0,18.0,19.0,18.0,25.0,25.0,25.0,27.0,29.0,30.0,28.0,15.0,22.0,7.0,17.0,27.0,20.0,18.0,14.0,28.0,15.0,26.0,30.0,31.0,9.0,19.0,20.0,28.0,20.0,20.0,33.0,7.0,14.0,12.0,24.0,39.0,14.0,11.0,12.0,6.0,18.0,28.0,13.0,10.0,16.0,34.0,33.0,32.0,13.0
DC20,0.0,26.0,10.0,3.0,12.0,9.0,8.0,0.0,12.0,13.0,0.0,33.0,1.0,0.0,41.0,10.0,21.0,11.0,12.0,100.0,7.0,35.0,32.0,0.0,0.0,27.0,2.0,7.0,37.0,28.0,28.0,24.0,16.0,13.0,22.0,6.0,18.0,16.0,26.0,31.0,20.0,11.0,11.0,7.0,20.0,10.0,7.0,21.0,13.0,18.0,11.0,16.0,9.0,7.0,11.0,8.0,19.0,23.0,15.0,28.0,26.0,9.0,13.0,24.0,36.0,13.0,39.0,13.0,12.0,11.0,24.0,29.0,14.0,17.0,30.0,16.0,16.0,32.0,42.0,27.0,30.0,10.0,37.0,36.0,31.0,33.0,10.0,13.0,29.0,38.0,38.0,17.0,26.0,18.0,42.0
DC21,0.0,5.0,21.0,0.0,33.0,36.0,33.0,0.0,25.0,20.0,0.0,14.0,0.0,0.0,12.0,35.0,34.0,31.0,35.0,7.0,100.0,10.0,5.0,0.0,0.0,23.0,0.0,39.0,14.0,15.0,15.0,26.0,22.0,37.0,12.0,24.0,13.0,28.0,23.0,9.0,21.0,32.0,32.0,34.0,16.0,26.0,30.0,9.0,29.0,13.0,20.0,18.0,23.0,22.0,32.0,33.0,30.0,20.0,34.0,8.0,11.0,29.0,32.0,18.0,14.0,23.0,10.0,27.0,34.0,34.0,8.0,19.0,20.0,23.0,12.0,27.0,33.0,10.0,6.0,17.0,15.0,35.0,9.0,15.0,7.0,8.0,18.0,32.0,8.0,7.0,11.0,28.0,23.0,33.0,13.0
DC22,1.0,39.0,16.0,3.0,16.0,13.0,5.0,0.0,10.0,10.0,1.0,33.0,2.0,0.0,36.0,7.0,19.0,10.0,12.0,35.0,10.0,100.0,34.0,0.0,0.0,25.0,2.0,5.0,35.0,34.0,37.0,16.0,13.0,10.0,32.0,8.0,20.0,8.0,25.0,44.0,20.0,6.0,9.0,13.0,18.0,5.0,5.0,31.0,5.0,20.0,21.0,14.0,7.0,7.0,6.0,6.0,15.0,22.0,6.0,25.0,31.0,5.0,6.0,25.0,27.0,15.0,23.0,4.0,3.0,6.0,25.0,31.0,11.0,17.0,24.0,19.0,9.0,29.0,36.0,35.0,21.0,9.0,37.0,21.0,30.0,37.0,4.0,11.0,30.0,37.0,28.0,10.0,13.0,9.0,33.0
DC23,1.0,35.0,8.0,1.0,11.0,12.0,6.0,0.0,9.0,7.0,1.0,29.0,3.0,0.0,30.0,9.0,14.0,6.0,5.0,32.0,5.0,34.0,100.0,1.0,0.0,18.0,4.0,3.0,32.0,31.0,32.0,20.0,9.0,7.0,31.0,6.0,22.0,7.0,23.0,39.0,14.0,4.0,7.0,6.0,16.0,7.0,3.0,13.0,10.0,19.0,13.0,11.0,5.0,4.0,8.0,4.0,7.0,8.0,4.0,35.0,23.0,6.0,9.0,23.0,27.0,10.0,45.0,5.0,4.0,5.0,29.0,21.0,12.0,8.0,25.0,10.0,5.0,33.0,30.0,35.0,20.0,5.0,38.0,23.0,35.0,43.0,7.0,4.0,34.0,35.0,27.0,6.0,9.0,7.0,27.0
DC24,81.0,12.0,0.0,76.0,1.0,0.0,0.0,77.0,1.0,0.0,74.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,81.0,2.0,74.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
DC25,81.0,10.0,0.0,76.0,0.0,0.0,0.0,79.0,0.0,0.0,73.0,0.0,72.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,100.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC26,0.0,25.0,22.0,1.0,21.0,26.0,14.0,0.0,18.0,15.0,0.0,22.0,2.0,0.0,23.0,16.0,25.0,14.0,24.0,27.0,23.0,25.0,18.0,2.0,0.0,100.0,2.0,13.0,20.0,16.0,29.0,27.0,21.0,28.0,18.0,20.0,20.0,23.0,24.0,20.0,24.0,22.0,23.0,16.0,24.0,13.0,16.0,28.0,18.0,18.0,25.0,30.0,21.0,16.0,17.0,18.0,26.0,23.0,13.0,21.0,21.0,12.0,18.0,19.0,26.0,25.0,21.0,17.0,15.0,19.0,10.0,28.0,14.0,22.0,25.0,24.0,23.0,17.0,20.0,21.0,30.0,20.0,18.0,26.0,24.0,22.0,15.0,22.0,19.0,16.0,24.0,18.0,25.0,22.0,26.0
DC27,71.0,12.0,1.0,74.0,1.0,0.0,0.0,73.0,1.0,0.0,68.0,2.0,72.0,75.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,74.0,72.0,2.0,100.0,0.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,4.0,0.0,6.0,5.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
DC28,0.0,3.0,21.0,0.0,26.0,27.0,39.0,0.0,35.0,34.0,0.0,12.0,0.0,0.0,2.0,35.0,21.0,40.0,28.0,7.0,39.0,5.0,3.0,0.0,0.0,13.0,0.0,100.0,6.0,9.0,10.0,17.0,27.0,28.0,12.0,24.0,15.0,28.0,18.0,9.0,15.0,48.0,34.0,35.0,19.0,37.0,40.0,9.0,27.0,12.0,18.0,24.0,24.0,30.0,29.0,39.0,25.0,15.0,39.0,7.0,9.0,42.0,32.0,11.0,11.0,18.0,4.0,39.0,37.0,43.0,11.0,16.0,19.0,29.0,9.0,19.0,35.0,6.0,8.0,8.0,17.0,34.0,3.0,18.0,5.0,5.0,45.0,32.0,8.0,5.0,5.0,21.0,30.0,28.0,10.0
DC29,0.0,23.0,12.0,2.0,9.0,12.0,2.0,0.0,6.0,6.0,0.0,34.0,1.0,0.0,41.0,10.0,28.0,8.0,14.0,37.0,14.0,35.0,32.0,0.0,0.0,20.0,3.0,6.0,100.0,34.0,36.0,19.0,10.0,11.0,36.0,5.0,21.0,8.0,24.0,29.0,15.0,4.0,7.0,11.0,22.0,5.0,9.0,24.0,10.0,16.0,14.0,11.0,4.0,7.0,10.0,4.0,18.0,20.0,4.0,33.0,24.0,5.0,5.0,31.0,25.0,9.0,32.0,5.0,3.0,5.0,26.0,35.0,16.0,16.0,36.0,15.0,11.0,35.0,37.0,30.0,19.0,6.0,31.0,29.0,32.0,31.0,8.0,7.0,39.0,39.0,32.0,5.0,15.0,12.0,36.0
DC30,1.0,28.0,8.0,1.0,9.0,12.0,6.0,0.0,14.0,10.0,1.0,35.0,2.0,0.0,36.0,7.0,19.0,13.0,11.0,28.0,15.0,34.0,31.0,1.0,0.0,16.0,4.0,9.0,34.0,100.0,34.0,23.0,11.0,8.0,33.0,5.0,21.0,3.0,17.0,33.0,22.0,9.0,11.0,8.0,13.0,9.0,5.0,27.0,11.0,22.0,17.0,12.0,10.0,4.0,10.0,5.0,18.0,23.0,11.0,35.0,29.0,8.0,13.0,25.0,25.0,12.0,32.0,6.0,7.0,9.0,20.0,22.0,13.0,11.0,27.0,15.0,12.0,35.0,33.0,37.0,19.0,7.0,34.0,23.0,34.0,30.0,10.0,7.0,35.0,24.0,29.0,11.0,13.0,14.0,34.0
DC31,0.0,31.0,14.0,2.0,18.0,10.0,12.0,0.0,14.0,9.0,0.0,28.0,1.0,0.0,32.0,14.0,17.0,11.0,12.0,28.0,15.0,37.0,32.0,1.0,0.0,29.0,2.0,10.0,36.0,34.0,100.0,18.0,14.0,14.0,26.0,17.0,16.0,13.0,29.0,28.0,22.0,10.0,10.0,12.0,22.0,7.0,11.0,29.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,14.0,14.0,28.0,7.0,27.0,31.0,7.0,8.0,29.0,33.0,15.0,28.0,11.0,11.0,12.0,19.0,31.0,16.0,19.0,30.0,12.0,15.0,26.0,32.0,31.0,19.0,8.0,35.0,19.0,36.0,26.0,13.0,12.0,29.0,33.0,30.0,14.0,16.0,12.0,31.0
DC32,0.0,17.0,23.0,0.0,25.0,28.0,25.0,0.0,13.0,15.0,0.0,24.0,0.0,0.0,25.0,21.0,24.0,20.0,18.0,24.0,26.0,16.0,20.0,0.0,0.0,27.0,1.0,17.0,19.0,23.0,18.0,100.0,18.0,25.0,18.0,22.0,10.0,25.0,15.0,17.0,20.0,21.0,21.0,20.0,27.0,17.0,18.0,18.0,19.0,21.0,22.0,19.0,18.0,19.0,15.0,17.0,29.0,13.0,14.0,15.0,28.0,17.0,16.0,24.0,28.0,24.0,19.0,13.0,16.0,19.0,13.0,26.0,13.0,23.0,26.0,23.0,26.0,24.0,17.0,14.0,23.0,18.0,25.0,19.0,15.0,18.0,24.0,16.0,18.0,16.0,19.0,24.0,24.0,24.0,21.0
DC33,0.0,6.0,23.0,0.0,30.0,31.0,33.0,0.0,31.0,25.0,0.0,16.0,0.0,0.0,9.0,25.0,16.0,20.0,31.0,16.0,22.0,13.0,9.0,1.0,0.0,21.0,0.0,27.0,10.0,11.0,14.0,18.0,100.0,30.0,9.0,25.0,10.0,21.0,24.0,11.0,18.0,25.0,29.0,22.0,29.0,23.0,20.0,11.0,31.0,19.0,25.0,30.0,30.0,28.0,17.0,26.0,21.0,23.0,28.0,7.0,16.0,26.0,25.0,21.0,13.0,23.0,14.0,33.0,18.0,23.0,9.0,18.0,21.0,28.0,16.0,14.0,28.0,10.0,12.0,7.0,17.0,22.0,15.0,13.0,9.0,5.0,31.0,25.0,12.0,11.0,17.0,24.0,20.0,32.0,14.0
DC34,0.0,8.0,22.0,0.0,31.0,35.0,35.0,0.0,28.0,16.0,0.0,19.0,1.0,0.0,11.0,26.0,28.0,28.0,33.0,13.0,37.0,10.0,7.0,1.0,0.0,28.0,1.0,28.0,11.0,8.0,14.0,25.0,30.0,100.0,10.0,28.0,11.0,35.0,20.0,10.0,22.0,26.0,30.0,22.0,15.0,28.0,28.0,15.0,26.0,18.0,19.0,30.0,29.0,29.0,30.0,23.0,24.0,21.0,23.0,10.0,13.0,30.0,29.0,15.0,12.0,31.0,15.0,24.0,34.0,29.0,6.0,19.0,17.0,26.0,14.0,23.0,32.0,9.0,13.0,12.0,18.0,34.0,12.0,14.0,9.0,3.0,30.0,26.0,12.0,12.0,9.0,21.0,22.0,31.0,18.0
