,DC01,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95
DC01,100.0,25.0,6.0,92.0,0.0,0.0,0.0,93.0,1.0,1.0,93.0,2.0,94.0,93.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,92.0,94.0,0.0,95.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0
DC02,25.0,100.0,22.0,26.0,11.0,11.0,5.0,25.0,14.0,19.0,23.0,37.0,23.0,23.0,35.0,11.0,18.0,8.0,11.0,32.0,9.0,40.0,42.0,22.0,23.0,22.0,23.0,8.0,33.0,43.0,46.0,22.0,11.0,12.0,39.0,8.0,31.0,4.0,18.0,45.0,36.0,8.0,9.0,7.0,18.0,12.0,9.0,34.0,18.0,36.0,17.0,13.0,11.0,5.0,17.0,5.0,10.0,26.0,5.0,50.0,36.0,7.0,4.0,31.0,30.0,9.0,37.0,8.0,8.0,3.0,36.0,28.0,18.0,8.0,26.0,14.0,13.0,51.0,40.0,42.0,29.0,5.0,41.0,32.0,42.0,56.0,7.0,8.0,43.0,33.0,38.0,10.0,13.0,7.0,32.0
DC03,6.0,22.0,100.0,3.0,29.0,36.0,39.0,3.0,41.0,41.0,4.0,17.0,3.0,5.0,20.0,42.0,25.0,37.0,39.0,18.0,35.0,20.0,26.0,3.0,3.0,30.0,3.0,36.0,22.0,20.0,24.0,31.0,38.0,35.0,28.0,42.0,29.0,40.0,36.0,27.0,37.0,37.0,33.0,45.0,32.0,34.0,44.0,22.0,39.0,20.0,37.0,32.0,45.0,44.0,42.0,45.0,39.0,22.0,34.0,21.0,22.0,42.0,41.0,25.0,17.0,40.0,18.0,47.0,37.0,46.0,25.0,20.0,34.0,28.0,22.0,31.0,37.0,20.0,18.0,23.0,22.0,37.0,21.0,20.0,22.0,21.0,46.0,48.0,26.0,27.0,21.0,49.0,26.0,33.0,27.0
DC04,92.0,26.0,3.0,100.0,0.0,0.0,0.0,95.0,0.0,1.0,95.0,1.0,96.0,95.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,96.0,96.0,0.0,97.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DC05,0.0,11.0,29.0,0.0,100.0,51.0,54.0,0.0,46.0,38.0,0.0,27.0,0.0,0.0,22.0,54.0,38.0,53.0,50.0,25.0,49.0,18.0,17.0,0.0,0.0,38.0,0.0,64.0,23.0,21.0,18.0,27.0,51.0,52.0,27.0,51.0,29.0,51.0,41.0,23.0,28.0,61.0,57.0,52.0,40.0,48.0,54.0,26.0,39.0,21.0,36.0,47.0,38.0,54.0,39.0,52.0,51.0,36.0,52.0,18.0,20.0,42.0,52.0,25.0,31.0,44.0,17.0,50.0,60.0,55.0,20.0,32.0,41.0,48.0,26.0,36.0,59.0,20.0,24.0,22.0,36.0,55.0,23.0,22.0,23.0,16.0,54.0,48.0,16.0,28.0,24.0,53.0,46.0,53.0,15.0
DC06,0.0,11.0,36.0,0.0,51.0,100.0,57.0,0.0,40.0,39.0,0.0,22.0,0.0,0.0,15.0,51.0,36.0,57.0,51.0,26.0,61.0,12.0,18.0,0.0,0.0,31.0,0.0,60.0,22.0,16.0,25.0,29.0,41.0,57.0,21.0,54.0,17.0,53.0,41.0,21.0,29.0,58.0,46.0,46.0,35.0,52.0,54.0,21.0,49.0,19.0,37.0,37.0,48.0,49.0,43.0,46.0,50.0,28.0,48.0,15.0,22.0,65.0,47.0,29.0,27.0,51.0,17.0,45.0,60.0,58.0,18.0,32.0,33.0,50.0,31.0,33.0,57.0,14.0,19.0,22.0,35.0,48.0,17.0,26.0,19.0,9.0,52.0,56.0,18.0,25.0,26.0,53.0,47.0,56.0,20.0
DC07,0.0,5.0,39.0,0.0,54.0,57.0,100.0,0.0,53.0,48.0,0.0,10.0,0.0,0.0,15.0,61.0,36.0,69.0,55.0,12.0,62.0,8.0,5.0,0.0,0.0,35.0,0.0,66.0,11.0,12.0,10.0,24.0,42.0,61.0,12.0,61.0,19.0,65.0,30.0,11.0,34.0,70.0,54.0,60.0,40.0,62.0,64.0,17.0,44.0,16.0,35.0,42.0,54.0,58.0,47.0,71.0,51.0,23.0,63.0,8.0,17.0,65.0,59.0,26.0,24.0,52.0,9.0,66.0,65.0,72.0,12.0,19.0,38.0,43.0,19.0,32.0,50.0,5.0,13.0,15.0,25.0,65.0,8.0,17.0,13.0,7.0,62.0,61.0,11.0,13.0,10.0,52.0,48.0,61.0,16.0
DC08,93.0,25.0,3.0,95.0,0.0,0.0,0.0,100.0,0.0,1.0,96.0,0.0,97.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,95.0,97.0,0.0,98.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DC09,1.0,14.0,41.0,0.0,46.0,40.0,53.0,0.0,100.0,42.0,1.0,16.0,0.0,0.0,21.0,49.0,38.0,55.0,44.0,17.0,42.0,21.0,15.0,0.0,0.0,40.0,0.0,58.0,12.0,17.0,26.0,22.0,46.0,44.0,16.0,55.0,23.0,44.0,39.0,17.0,41.0,50.0,51.0,52.0,40.0,48.0,54.0,28.0,48.0,19.0,42.0,47.0,52.0,51.0,53.0,54.0,46.0,29.0,50.0,13.0,24.0,45.0,47.0,28.0,25.0,54.0,19.0,56.0,54.0,51.0,22.0,26.0,45.0,52.0,20.0,45.0,45.0,12.0,20.0,13.0,25.0,55.0,17.0,24.0,20.0,12.0,45.0,50.0,25.0,17.0,22.0,51.0,32.0,45.0,22.0
DC10,1.0,19.0,41.0,1.0,38.0,39.0,48.0,1.0,42.0,100.0,0.0,20.0,0.0,0.0,24.0,39.0,32.0,43.0,37.0,21.0,32.0,20.0,19.0,2.0,0.0,34.0,0.0,50.0,18.0,21.0,25.0,18.0,46.0,41.0,19.0,44.0,28.0,41.0,22.0,25.0,38.0,42.0,41.0,43.0,33.0,53.0,48.0,24.0,48.0,26.0,33.0,46.0,50.0,46.0,43.0,47.0,32.0,25.0,46.0,24.0,26.0,49.0,53.0,26.0,20.0,39.0,18.0,53.0,48.0,40.0,19.0,18.0,41.0,36.0,22.0,37.0,30.0,18.0,13.0,20.0,30.0,40.0,24.0,22.0,24.0,21.0,41.0,35.0,28.0,19.0,27.0,39.0,41.0,39.0,17.0
