,DC01,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95
DC19,0.0,0.0,29.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,40.0,0.0,2.0,0.0,0.0,1.0,1.0,37.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC20,16.0,3.0,1.0,16.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,26.0,0.0,0.0,11.0,11.0,27.0,0.0,0.0,40.0,0.0,11.0,27.0,2.0,0.0,0.0,18.0,0.0,28.0,4.0,9.0,10.0,7.0,25.0,10.0,7.0,1.0,22.0,22.0,14.0,1.0,1.0,29.0,1.0,12.0,7.0,17.0,12.0,0.0,18.0,6.0,10.0,1.0,2.0,2.0,9.0,16.0,7.0,8.0,1.0,18.0,25.0,2.0,11.0,6.0,7.0,7.0,5.0,10.0,16.0,2.0,23.0,5.0,1.0,22.0,2.0,8.0,12.0,19.0,3.0,0.0,11.0,6.0,13.0,3.0,8.0,10.0,1.0,7.0,26.0,17.0,27.0,18.0,23.0,4.0
DC21,0.0,11.0,0.0,0.0,9.0,24.0,2.0,2.0,21.0,39.0,23.0,0.0,29.0,30.0,4.0,0.0,0.0,29.0,2.0,0.0,40.0,0.0,0.0,1.0,9.0,1.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC22,8.0,1.0,1.0,6.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,10.0,11.0,0.0,0.0,11.0,0.0,40.0,11.0,4.0,0.0,0.0,15.0,0.0,16.0,8.0,4.0,4.0,10.0,12.0,6.0,13.0,7.0,10.0,12.0,6.0,21.0,19.0,14.0,15.0,17.0,15.0,10.0,14.0,5.0,18.0,3.0,14.0,2.0,13.0,9.0,19.0,13.0,12.0,4.0,2.0,19.0,17.0,0.0,14.0,17.0,13.0,3.0,2.0,16.0,15.0,19.0,14.0,1.0,11.0,15.0,13.0,0.0,15.0,14.0,2.0,19.0,10.0,0.0,18.0,13.0,19.0,8.0,9.0,20.0,12.0,20.0,17.0,6.0,15.0,13.0
DC23,21.0,2.0,1.0,18.0,2.0,0.0,4.0,12.0,0.0,0.0,0.0,31.0,0.0,0.0,13.0,13.0,27.0,0.0,0.0,27.0,0.0,11.0,40.0,3.0,2.0,0.0,21.0,0.0,23.0,3.0,14.0,6.0,6.0,24.0,10.0,6.0,0.0,26.0,24.0,11.0,0.0,0.0,30.0,0.0,15.0,5.0,21.0,8.0,2.0,18.0,5.0,11.0,1.0,0.0,1.0,10.0,22.0,7.0,5.0,1.0,16.0,21.0,1.0,10.0,4.0,3.0,7.0,3.0,9.0,13.0,0.0,19.0,4.0,0.0,19.0,1.0,10.0,12.0,15.0,3.0,0.0,11.0,7.0,13.0,1.0,6.0,7.0,0.0,7.0,30.0,18.0,27.0,18.0,23.0,4.0
DC24,13.0,13.0,3.0,6.0,9.0,5.0,13.0,13.0,3.0,1.0,10.0,3.0,6.0,7.0,11.0,7.0,2.0,5.0,1.0,2.0,1.0,4.0,3.0,40.0,8.0,0.0,5.0,4.0,4.0,5.0,6.0,5.0,6.0,2.0,2.0,9.0,4.0,4.0,1.0,6.0,4.0,3.0,3.0,2.0,4.0,3.0,13.0,7.0,3.0,4.0,1.0,4.0,3.0,4.0,5.0,6.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,6.0,11.0,5.0,2.0,6.0,7.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,1.0,5.0,8.0,9.0,5.0,6.0,4.0,6.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0
DC25,7.0,22.0,3.0,13.0,37.0,4.0,4.0,18.0,17.0,8.0,24.0,2.0,18.0,16.0,19.0,2.0,0.0,19.0,1.0,0.0,9.0,0.0,2.0,8.0,40.0,0.0,0.0,27.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC26,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
DC27,15.0,1.0,0.0,6.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,18.0,0.0,0.0,4.0,4.0,19.0,0.0,0.0,18.0,0.0,15.0,21.0,5.0,0.0,0.0,40.0,0.0,15.0,12.0,4.0,10.0,12.0,27.0,14.0,15.0,4.0,14.0,24.0,18.0,3.0,2.0,22.0,2.0,24.0,11.0,22.0,22.0,3.0,27.0,8.0,15.0,3.0,7.0,2.0,18.0,13.0,14.0,11.0,2.0,12.0,23.0,1.0,17.0,14.0,16.0,11.0,3.0,17.0,23.0,3.0,26.0,7.0,4.0,28.0,8.0,2.0,23.0,19.0,5.0,3.0,22.0,0.0,14.0,9.0,11.0,10.0,3.0,10.0,28.0,27.0,21.0,17.0,24.0,3.0
DC28,2.0,18.0,3.0,7.0,24.0,9.0,4.0,11.0,29.0,14.0,25.0,0.0,25.0,23.0,12.0,4.0,0.0,25.0,2.0,0.0,15.0,0.0,0.0,4.0,27.0,1.0,0.0,40.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
